Era,Chip,Qubit_Index,T1_us,T2_us,Readout_Error_Pct
Falcon (2020/21),Hanoi,0,198.1262,312.6122,0.7600
Falcon (2020/21),Hanoi,1,128.1144,108.5155,1.0200
Falcon (2020/21),Hanoi,2,84.8945,214.7754,0.7700
Falcon (2020/21),Hanoi,3,129.0958,24.1228,0.9400
Falcon (2020/21),Hanoi,4,189.2198,19.3858,0.8300
Falcon (2020/21),Hanoi,5,91.5450,212.4257,0.6600
Falcon (2020/21),Hanoi,6,82.8855,65.5076,2.0400
Falcon (2020/21),Hanoi,7,96.6643,131.9264,0.9700
Falcon (2020/21),Hanoi,8,188.8692,287.8565,1.1800
Falcon (2020/21),Hanoi,9,172.8066,289.6055,1.3000
Falcon (2020/21),Hanoi,10,160.8883,338.8665,2.4200
Falcon (2020/21),Hanoi,11,87.6957,241.7942,4.2000
Falcon (2020/21),Hanoi,12,199.4264,175.5709,2.0800
Falcon (2020/21),Hanoi,13,43.8648,93.3004,5.0900
Falcon (2020/21),Hanoi,14,223.9268,23.8656,0.7700
Falcon (2020/21),Hanoi,15,86.5321,21.8491,3.9000
Falcon (2020/21),Hanoi,16,115.9219,210.5347,0.8900
Falcon (2020/21),Hanoi,17,95.5006,77.2397,2.4200
Falcon (2020/21),Hanoi,18,139.0088,128.0532,1.7000
Falcon (2020/21),Hanoi,19,174.9804,192.5929,0.6300
Falcon (2020/21),Hanoi,20,137.5360,78.7089,0.5500
Falcon (2020/21),Hanoi,21,167.9278,32.6835,8.4300
Falcon (2020/21),Hanoi,22,180.8550,157.2679,1.3200
Falcon (2020/21),Hanoi,23,79.2363,117.3547,1.5700
Falcon (2020/21),Hanoi,24,153.2936,64.4345,0.6700
Falcon (2020/21),Hanoi,25,145.7928,88.6112,0.9200
Falcon (2020/21),Hanoi,26,132.1341,30.9589,0.8000
Falcon (2020/21),Cairo,0,67.5857,165.9732,0.5100
Falcon (2020/21),Cairo,1,113.0538,81.4307,0.9900
Falcon (2020/21),Cairo,2,102.1397,57.2716,1.6200
Falcon (2020/21),Cairo,3,10.9009,112.6327,1.6800
Falcon (2020/21),Cairo,4,72.8952,21.7659,1.5900
Falcon (2020/21),Cairo,5,56.5221,28.0803,2.8600
Falcon (2020/21),Cairo,6,62.4625,96.8913,1.2500
Falcon (2020/21),Cairo,7,88.0062,136.8944,1.1400
Falcon (2020/21),Cairo,8,85.9604,50.7518,2.7000
Falcon (2020/21),Cairo,9,100.6616,35.7564,9.8200
Falcon (2020/21),Cairo,10,123.2402,14.7460,0.6400
Falcon (2020/21),Cairo,11,100.7211,147.1567,0.7700
Falcon (2020/21),Cairo,12,123.8183,204.8121,0.9800
Falcon (2020/21),Cairo,13,60.9513,37.9264,0.8300
Falcon (2020/21),Cairo,14,104.6197,207.9775,1.3900
Falcon (2020/21),Cairo,15,122.6438,113.4829,0.8300
Falcon (2020/21),Cairo,16,85.4439,183.7799,12.3500
Falcon (2020/21),Cairo,17,87.2556,70.8161,1.6300
Falcon (2020/21),Cairo,18,107.8563,37.7776,0.7500
Falcon (2020/21),Cairo,19,96.9505,6.9025,14.9200
Falcon (2020/21),Cairo,20,97.3860,18.9053,0.8900
Falcon (2020/21),Cairo,21,106.3275,58.0333,0.8000
Falcon (2020/21),Cairo,22,66.1177,102.2125,1.2100
Falcon (2020/21),Cairo,23,106.6935,138.7339,1.7300
Falcon (2020/21),Cairo,24,137.8234,192.4116,1.4300
Falcon (2020/21),Cairo,25,88.4981,196.4663,1.9700
Falcon (2020/21),Cairo,26,24.7336,21.2768,3.8000
Falcon (2020/21),Kolkata,0,121.0432,29.2100,0.9600
Falcon (2020/21),Kolkata,1,82.3421,176.5595,1.1800
Falcon (2020/21),Kolkata,2,112.8492,48.2449,0.7200
Falcon (2020/21),Kolkata,3,137.4058,83.9131,0.8600
Falcon (2020/21),Kolkata,4,96.5622,144.1307,2.0500
Falcon (2020/21),Kolkata,5,57.3242,31.0532,1.6300
Falcon (2020/21),Kolkata,6,105.7217,70.4791,2.9300
Falcon (2020/21),Kolkata,7,115.3139,24.8838,2.1100
Falcon (2020/21),Kolkata,8,130.3103,121.2158,0.6500
Falcon (2020/21),Kolkata,9,123.6002,63.2544,1.2900
Falcon (2020/21),Kolkata,10,111.4820,76.7675,1.0800
Falcon (2020/21),Kolkata,11,12.1240,16.6202,4.6300
Falcon (2020/21),Kolkata,12,100.4244,65.9642,0.9900
Falcon (2020/21),Kolkata,13,162.3406,331.6903,1.2000
Falcon (2020/21),Kolkata,14,106.7329,82.6760,0.5800
Falcon (2020/21),Kolkata,15,151.4386,171.3308,0.6900
Falcon (2020/21),Kolkata,16,120.5136,88.5047,0.9700
Falcon (2020/21),Kolkata,17,90.7617,35.3121,0.6100
Falcon (2020/21),Kolkata,18,109.2996,69.8703,0.7400
Falcon (2020/21),Kolkata,19,130.5292,116.0149,1.9200
Falcon (2020/21),Kolkata,20,114.9365,153.1033,0.7300
Falcon (2020/21),Kolkata,21,101.3257,109.8409,0.6800
Falcon (2020/21),Kolkata,22,97.7706,44.1275,1.1700
Falcon (2020/21),Kolkata,23,84.5049,107.8474,0.7900
Falcon (2020/21),Kolkata,24,114.0729,26.1211,0.5300
Falcon (2020/21),Kolkata,25,167.3504,219.1134,0.4900
Falcon (2020/21),Kolkata,26,109.2175,105.6447,0.7000
Eagle R1 (2022),Washington,0,69.3274,14.1434,0.6500
Eagle R1 (2022),Washington,1,112.2738,97.3296,1.2100
Eagle R1 (2022),Washington,2,81.0582,17.5521,1.8900
Eagle R1 (2022),Washington,3,104.5290,31.7493,4.1900
Eagle R1 (2022),Washington,4,111.0055,96.8003,10.1100
Eagle R1 (2022),Washington,5,100.2177,131.0791,5.2500
Eagle R1 (2022),Washington,6,103.3384,139.8287,1.0400
Eagle R1 (2022),Washington,7,98.2657,59.1919,1.1500
Eagle R1 (2022),Washington,8,64.4140,89.7540,1.3700
Eagle R1 (2022),Washington,9,110.6850,153.3006,12.0000
Eagle R1 (2022),Washington,10,81.9748,78.3369,6.3100
Eagle R1 (2022),Washington,11,144.3224,50.0321,13.1900
Eagle R1 (2022),Washington,12,142.0639,109.7727,24.5000
Eagle R1 (2022),Washington,13,65.0832,19.5868,1.0500
Eagle R1 (2022),Washington,14,81.6680,86.1133,1.2600
Eagle R1 (2022),Washington,15,103.8468,55.4268,3.5700
Eagle R1 (2022),Washington,16,80.0266,260.5813,0.6000
Eagle R1 (2022),Washington,17,51.3212,98.0394,5.0000
Eagle R1 (2022),Washington,18,91.0802,129.5912,4.2400
Eagle R1 (2022),Washington,19,107.9243,115.0255,1.7900
Eagle R1 (2022),Washington,20,130.1935,182.7824,0.7000
Eagle R1 (2022),Washington,21,95.4356,117.5085,3.9800
Eagle R1 (2022),Washington,22,46.8200,49.6753,2.3500
Eagle R1 (2022),Washington,23,105.9495,73.5634,11.8100
Eagle R1 (2022),Washington,24,70.3781,83.7133,2.4500
Eagle R1 (2022),Washington,25,110.0026,146.9948,1.4700
Eagle R1 (2022),Washington,26,120.6980,187.5091,0.8500
Eagle R1 (2022),Washington,27,103.0117,65.9493,3.2000
Eagle R1 (2022),Washington,28,119.6155,69.3772,0.9700
Eagle R1 (2022),Washington,29,92.8629,40.7602,0.7600
Eagle R1 (2022),Washington,30,212.5817,146.0898,0.9600
Eagle R1 (2022),Washington,31,85.9108,72.2955,1.4500
Eagle R1 (2022),Washington,32,97.4727,34.6067,1.0400
Eagle R1 (2022),Washington,33,105.9079,88.0815,0.9600
Eagle R1 (2022),Washington,34,84.2880,109.2682,2.0100
Eagle R1 (2022),Washington,35,130.8378,64.1209,0.6700
Eagle R1 (2022),Washington,36,130.3574,178.3549,0.4500
Eagle R1 (2022),Washington,37,57.8026,62.7483,2.1800
Eagle R1 (2022),Washington,38,84.1107,91.2156,0.9900
Eagle R1 (2022),Washington,39,106.7967,128.0918,1.5700
Eagle R1 (2022),Washington,40,88.7103,18.0880,0.9600
Eagle R1 (2022),Washington,41,98.1553,45.9964,2.8600
Eagle R1 (2022),Washington,42,160.1503,284.5786,0.6300
Eagle R1 (2022),Washington,43,113.5706,178.7222,2.0600
Eagle R1 (2022),Washington,44,87.3991,127.4027,2.6700
Eagle R1 (2022),Washington,45,140.5294,122.5787,3.5300
Eagle R1 (2022),Washington,46,86.6715,169.9210,7.4200
Eagle R1 (2022),Washington,47,122.0648,27.0521,1.6100
Eagle R1 (2022),Washington,48,112.4451,134.2154,0.5900
Eagle R1 (2022),Washington,49,99.9523,110.0855,0.9000
Eagle R1 (2022),Washington,50,137.9077,189.8549,1.4100
Eagle R1 (2022),Washington,51,108.0075,73.6879,0.5900
Eagle R1 (2022),Washington,52,74.2229,63.4590,0.5500
Eagle R1 (2022),Washington,53,69.1165,15.9533,4.5600
Eagle R1 (2022),Washington,54,105.3567,118.1591,1.2400
Eagle R1 (2022),Washington,55,95.2427,130.5002,0.9900
Eagle R1 (2022),Washington,56,60.6000,98.1766,0.7000
Eagle R1 (2022),Washington,57,108.4406,44.6718,1.5300
Eagle R1 (2022),Washington,58,109.6018,69.5322,1.9600
Eagle R1 (2022),Washington,59,99.1744,82.3520,0.6700
Eagle R1 (2022),Washington,60,98.6592,54.6831,5.5400
Eagle R1 (2022),Washington,61,139.6767,196.7567,2.9700
Eagle R1 (2022),Washington,62,126.2803,155.9764,0.5400
Eagle R1 (2022),Washington,63,142.8292,145.9579,0.4200
Eagle R1 (2022),Washington,64,64.1238,66.7798,1.2400
Eagle R1 (2022),Washington,65,136.5012,79.3705,0.3300
Eagle R1 (2022),Washington,66,107.7156,76.1616,2.4100
Eagle R1 (2022),Washington,67,31.7039,50.2739,4.6100
Eagle R1 (2022),Washington,68,97.6295,67.4756,0.7300
Eagle R1 (2022),Washington,69,119.8091,208.4341,4.3300
Eagle R1 (2022),Washington,70,115.6268,74.0130,4.5400
Eagle R1 (2022),Washington,71,111.2579,86.7163,1.4700
Eagle R1 (2022),Washington,72,84.0779,147.7925,0.8500
Eagle R1 (2022),Washington,73,58.9031,107.3692,0.6800
Eagle R1 (2022),Washington,74,120.8365,49.2329,2.3500
Eagle R1 (2022),Washington,75,111.8509,142.1250,1.1400
Eagle R1 (2022),Washington,76,39.0745,46.4104,0.8300
Eagle R1 (2022),Washington,77,56.7432,115.3492,1.7100
Eagle R1 (2022),Washington,78,62.7580,20.2075,2.4400
Eagle R1 (2022),Washington,79,95.8795,27.0426,1.5400
Eagle R1 (2022),Washington,80,116.2456,148.6301,7.7400
Eagle R1 (2022),Washington,81,78.3133,101.3915,4.8000
Eagle R1 (2022),Washington,82,86.5466,37.7280,3.7300
Eagle R1 (2022),Washington,83,139.3788,188.4671,3.4500
Eagle R1 (2022),Washington,84,109.0385,14.1420,0.5600
Eagle R1 (2022),Washington,85,113.6306,73.4258,1.0200
Eagle R1 (2022),Washington,86,111.1996,138.8754,0.8600
Eagle R1 (2022),Washington,87,93.2634,78.8206,4.4700
Eagle R1 (2022),Washington,88,74.6163,130.8461,1.4300
Eagle R1 (2022),Washington,89,71.3560,45.1879,1.1000
Eagle R1 (2022),Washington,90,93.8687,93.3997,2.6700
Eagle R1 (2022),Washington,91,131.1054,63.0980,2.8700
Eagle R1 (2022),Washington,92,84.7169,141.3835,0.7700
Eagle R1 (2022),Washington,93,98.6340,134.5442,7.7300
Eagle R1 (2022),Washington,94,120.6123,94.6025,0.4200
Eagle R1 (2022),Washington,95,105.3698,111.4330,0.7200
Eagle R1 (2022),Washington,96,113.9741,99.9774,1.2200
Eagle R1 (2022),Washington,97,58.2262,107.1312,0.5000
Eagle R1 (2022),Washington,98,89.4803,81.0511,1.8500
Eagle R1 (2022),Washington,99,108.8374,31.6162,6.8600
Eagle R1 (2022),Washington,100,143.5208,60.6274,3.3000
Eagle R1 (2022),Washington,101,91.4284,120.5008,2.8600
Eagle R1 (2022),Washington,102,91.3613,108.0365,0.7900
Eagle R1 (2022),Washington,103,87.1919,121.6560,1.3100
Eagle R1 (2022),Washington,104,51.6923,32.6762,1.0900
Eagle R1 (2022),Washington,105,46.7728,70.2753,1.4300
Eagle R1 (2022),Washington,106,67.5523,65.9942,1.5000
Eagle R1 (2022),Washington,107,104.8599,120.7731,0.5700
Eagle R1 (2022),Washington,108,91.5761,54.7808,3.3500
Eagle R1 (2022),Washington,109,101.5552,96.3603,32.2800
Eagle R1 (2022),Washington,110,93.0941,39.0407,1.6600
Eagle R1 (2022),Washington,111,99.6864,114.8670,1.2100
Eagle R1 (2022),Washington,112,75.2879,86.0507,3.9300
Eagle R1 (2022),Washington,113,93.9421,131.6378,1.1600
Eagle R1 (2022),Washington,114,70.6033,56.1403,1.6200
Eagle R1 (2022),Washington,115,99.6399,69.3325,1.5300
Eagle R1 (2022),Washington,116,106.1107,132.8419,0.8100
Eagle R1 (2022),Washington,117,73.6704,92.5828,0.6900
Eagle R1 (2022),Washington,118,102.1667,129.3892,1.1300
Eagle R1 (2022),Washington,119,69.0891,46.2452,1.7700
Eagle R1 (2022),Washington,120,72.7887,61.8713,1.0300
Eagle R1 (2022),Washington,121,134.2696,57.9303,1.7700
Eagle R1 (2022),Washington,122,89.5743,91.8754,5.1300
Eagle R1 (2022),Washington,123,81.0264,3.7178,0.7200
Eagle R1 (2022),Washington,124,89.0304,89.5373,1.7000
Eagle R1 (2022),Washington,125,115.6648,136.2872,0.3500
Eagle R1 (2022),Washington,126,94.5993,136.6462,0.2800
Eagle R3 (2023),Sherbrooke,0,381.5686,131.7044,1.1230
Eagle R3 (2023),Sherbrooke,1,233.7909,251.0050,2.4414
Eagle R3 (2023),Sherbrooke,2,270.3881,230.3323,2.1484
Eagle R3 (2023),Sherbrooke,3,328.7749,333.4284,1.1963
Eagle R3 (2023),Sherbrooke,4,291.7479,192.4448,2.0752
Eagle R3 (2023),Sherbrooke,5,172.7591,78.9190,6.0547
Eagle R3 (2023),Sherbrooke,6,237.4035,44.4415,25.7324
Eagle R3 (2023),Sherbrooke,7,230.5222,18.1773,4.9805
Eagle R3 (2023),Sherbrooke,8,394.1651,17.2825,8.8135
Eagle R3 (2023),Sherbrooke,9,291.8466,56.3468,16.0645
Eagle R3 (2023),Sherbrooke,10,280.8509,185.1516,2.7344
Eagle R3 (2023),Sherbrooke,11,413.4240,96.1181,1.2451
Eagle R3 (2023),Sherbrooke,12,418.9843,259.8168,7.3730
Eagle R3 (2023),Sherbrooke,13,463.6055,299.9174,12.6953
Eagle R3 (2023),Sherbrooke,14,262.6241,81.3430,4.2725
Eagle R3 (2023),Sherbrooke,15,473.3187,126.9810,8.7158
Eagle R3 (2023),Sherbrooke,16,283.4226,15.4988,10.2295
Eagle R3 (2023),Sherbrooke,17,438.3572,18.7377,1.6846
Eagle R3 (2023),Sherbrooke,18,452.3251,21.5091,5.4443
Eagle R3 (2023),Sherbrooke,19,514.8934,139.3716,3.7109
Eagle R3 (2023),Sherbrooke,20,324.0747,77.3710,3.9062
Eagle R3 (2023),Sherbrooke,21,339.1254,25.8160,2.3193
Eagle R3 (2023),Sherbrooke,22,352.7649,247.7678,2.2705
Eagle R3 (2023),Sherbrooke,23,110.5905,17.8234,1.7578
Eagle R3 (2023),Sherbrooke,24,288.2942,15.1197,3.1006
Eagle R3 (2023),Sherbrooke,25,315.9978,337.9309,1.9775
Eagle R3 (2023),Sherbrooke,26,345.7766,107.6161,0.8301
Eagle R3 (2023),Sherbrooke,27,231.6768,106.3796,1.5625
Eagle R3 (2023),Sherbrooke,28,222.1774,63.7359,5.0537
Eagle R3 (2023),Sherbrooke,29,365.1962,152.4966,1.2451
Eagle R3 (2023),Sherbrooke,30,402.2747,357.7888,0.6348
Eagle R3 (2023),Sherbrooke,31,158.6840,35.7159,0.9766
Eagle R3 (2023),Sherbrooke,32,197.7617,316.0734,2.3682
Eagle R3 (2023),Sherbrooke,33,392.2970,337.5465,0.8789
Eagle R3 (2023),Sherbrooke,34,138.2469,51.4393,10.4492
Eagle R3 (2023),Sherbrooke,35,227.6396,57.9657,1.1719
Eagle R3 (2023),Sherbrooke,36,267.2089,72.4772,0.8301
Eagle R3 (2023),Sherbrooke,37,340.6585,35.1753,5.3955
Eagle R3 (2023),Sherbrooke,38,483.2930,116.1821,4.5410
Eagle R3 (2023),Sherbrooke,39,445.6550,109.8099,4.9805
Eagle R3 (2023),Sherbrooke,40,367.5175,310.9816,0.6592
Eagle R3 (2023),Sherbrooke,41,249.0531,373.4304,0.9277
Eagle R3 (2023),Sherbrooke,42,277.7625,218.1610,3.1738
Eagle R3 (2023),Sherbrooke,43,446.2251,165.7584,0.8789
Eagle R3 (2023),Sherbrooke,44,301.3052,302.0203,1.0254
Eagle R3 (2023),Sherbrooke,45,418.3159,289.1585,3.2471
Eagle R3 (2023),Sherbrooke,46,365.8588,488.8149,3.2471
Eagle R3 (2023),Sherbrooke,47,278.6304,146.1807,1.1963
Eagle R3 (2023),Sherbrooke,48,339.9500,309.7309,1.9043
Eagle R3 (2023),Sherbrooke,49,216.2759,168.9101,5.6641
Eagle R3 (2023),Sherbrooke,50,324.5288,198.9524,3.4180
Eagle R3 (2023),Sherbrooke,51,367.2187,479.7633,0.8789
Eagle R3 (2023),Sherbrooke,52,106.2437,19.6766,15.3809
Eagle R3 (2023),Sherbrooke,53,275.7016,400.5111,2.6367
Eagle R3 (2023),Sherbrooke,54,210.1690,61.7518,4.1992
Eagle R3 (2023),Sherbrooke,55,332.2133,201.3966,6.0303
Eagle R3 (2023),Sherbrooke,56,451.4122,10.2651,10.9375
Eagle R3 (2023),Sherbrooke,57,301.8930,2.6370,21.7285
Eagle R3 (2023),Sherbrooke,58,467.3368,46.1549,0.9277
Eagle R3 (2023),Sherbrooke,59,308.3982,320.5561,2.5391
Eagle R3 (2023),Sherbrooke,60,447.5394,450.9603,1.0498
Eagle R3 (2023),Sherbrooke,61,299.1905,360.3137,3.0762
Eagle R3 (2023),Sherbrooke,62,300.1382,302.0748,1.2451
Eagle R3 (2023),Sherbrooke,63,247.5768,128.2163,3.6865
Eagle R3 (2023),Sherbrooke,64,73.2164,85.9609,20.3125
Eagle R3 (2023),Sherbrooke,65,313.9630,266.5240,2.3926
Eagle R3 (2023),Sherbrooke,66,250.7008,364.5315,1.7334
Eagle R3 (2023),Sherbrooke,67,238.7002,319.3798,1.7822
Eagle R3 (2023),Sherbrooke,68,253.8242,202.1016,1.3184
Eagle R3 (2023),Sherbrooke,69,316.3740,34.7221,1.9775
Eagle R3 (2023),Sherbrooke,70,184.6713,284.0130,16.2598
Eagle R3 (2023),Sherbrooke,71,228.7960,138.2685,1.7822
Eagle R3 (2023),Sherbrooke,72,245.4944,373.0783,9.7168
Eagle R3 (2023),Sherbrooke,73,317.8104,170.0127,0.6836
Eagle R3 (2023),Sherbrooke,74,181.2781,136.5982,0.2930
Eagle R3 (2023),Sherbrooke,75,460.7579,207.0641,5.5908
Eagle R3 (2023),Sherbrooke,76,264.2587,112.1467,1.1475
Eagle R3 (2023),Sherbrooke,77,271.6334,212.6680,0.8789
Eagle R3 (2023),Sherbrooke,78,340.0855,33.2045,1.7090
Eagle R3 (2023),Sherbrooke,79,230.6364,24.1970,1.5625
Eagle R3 (2023),Sherbrooke,80,146.9929,212.4180,1.0986
Eagle R3 (2023),Sherbrooke,81,255.5135,158.8504,0.5615
Eagle R3 (2023),Sherbrooke,82,201.6006,218.6049,3.2471
Eagle R3 (2023),Sherbrooke,83,297.8927,57.0664,2.3438
Eagle R3 (2023),Sherbrooke,84,198.8947,368.3215,50.0000
Eagle R3 (2023),Sherbrooke,85,421.0571,185.0065,7.8125
Eagle R3 (2023),Sherbrooke,86,149.6674,138.6485,1.2939
Eagle R3 (2023),Sherbrooke,87,235.9677,326.5370,1.2451
Eagle R3 (2023),Sherbrooke,88,253.4341,99.6902,4.3213
Eagle R3 (2023),Sherbrooke,89,241.1898,217.9788,1.7578
Eagle R3 (2023),Sherbrooke,90,304.5229,221.7025,1.0254
Eagle R3 (2023),Sherbrooke,91,342.9810,319.1778,1.9531
Eagle R3 (2023),Sherbrooke,92,232.1739,402.6568,34.0576
Eagle R3 (2023),Sherbrooke,93,287.8160,42.3569,0.9766
Eagle R3 (2023),Sherbrooke,94,226.3488,269.5944,0.9277
Eagle R3 (2023),Sherbrooke,95,288.0906,101.4378,1.0498
Eagle R3 (2023),Sherbrooke,96,226.6968,159.0312,9.8877
Eagle R3 (2023),Sherbrooke,97,241.2148,89.3334,2.0996
Eagle R3 (2023),Sherbrooke,98,254.9284,361.1171,2.4658
Eagle R3 (2023),Sherbrooke,99,229.0199,176.8840,1.5625
Eagle R3 (2023),Sherbrooke,100,132.5295,212.8280,1.3428
Eagle R3 (2023),Sherbrooke,101,258.5551,70.6322,0.3662
Eagle R3 (2023),Sherbrooke,102,206.4311,107.6301,6.0303
Eagle R3 (2023),Sherbrooke,103,298.9455,215.4301,0.8789
Eagle R3 (2023),Sherbrooke,104,273.9886,341.7313,0.3662
Eagle R3 (2023),Sherbrooke,105,295.6113,27.1331,1.0986
Eagle R3 (2023),Sherbrooke,106,438.0150,359.3097,1.2451
Eagle R3 (2023),Sherbrooke,107,210.7191,97.9152,2.5879
Eagle R3 (2023),Sherbrooke,108,163.1064,243.0322,1.0010
Eagle R3 (2023),Sherbrooke,109,305.2954,361.4088,2.9785
Eagle R3 (2023),Sherbrooke,110,364.3639,389.6705,0.7324
Eagle R3 (2023),Sherbrooke,111,167.7114,93.9561,4.5654
Eagle R3 (2023),Sherbrooke,112,358.0040,97.6779,2.2217
Eagle R3 (2023),Sherbrooke,113,315.5395,69.3559,0.3906
Eagle R3 (2023),Sherbrooke,114,175.8337,252.9835,1.5381
Eagle R3 (2023),Sherbrooke,115,276.9149,225.6783,1.2451
Eagle R3 (2023),Sherbrooke,116,224.6323,300.4825,1.0986
Eagle R3 (2023),Sherbrooke,117,228.4423,167.3093,3.0762
Eagle R3 (2023),Sherbrooke,118,264.3134,334.0873,1.2451
Eagle R3 (2023),Sherbrooke,119,209.9206,171.4860,1.1475
Eagle R3 (2023),Sherbrooke,120,280.4927,269.8592,1.2695
Eagle R3 (2023),Sherbrooke,121,246.6419,15.6591,2.1484
Eagle R3 (2023),Sherbrooke,122,353.0344,305.1293,0.7568
Eagle R3 (2023),Sherbrooke,123,251.8236,301.0296,0.7812
Eagle R3 (2023),Sherbrooke,124,278.4197,332.1060,0.4150
Eagle R3 (2023),Sherbrooke,125,239.2803,63.3756,0.7812
Eagle R3 (2023),Sherbrooke,126,261.8182,108.7980,1.9775
Eagle R3 (2023),Brisbane,0,237.3636,49.4256,2.7832
Eagle R3 (2023),Brisbane,1,158.4526,242.0553,3.1006
Eagle R3 (2023),Brisbane,2,225.5910,245.5670,1.0742
Eagle R3 (2023),Brisbane,3,393.6307,386.0530,2.7344
Eagle R3 (2023),Brisbane,4,176.4616,217.7956,2.5146
Eagle R3 (2023),Brisbane,5,258.1477,267.6629,18.5547
Eagle R3 (2023),Brisbane,6,296.8972,90.3961,2.3438
Eagle R3 (2023),Brisbane,7,144.6933,262.5701,1.6602
Eagle R3 (2023),Brisbane,8,270.9732,218.9489,1.3428
Eagle R3 (2023),Brisbane,9,415.2868,182.5415,0.8057
Eagle R3 (2023),Brisbane,10,404.1542,310.0893,2.0020
Eagle R3 (2023),Brisbane,11,205.7224,388.2092,15.3809
Eagle R3 (2023),Brisbane,12,400.7950,159.8849,2.0264
Eagle R3 (2023),Brisbane,13,319.3703,114.6453,2.2949
Eagle R3 (2023),Brisbane,14,249.9344,119.1934,1.5869
Eagle R3 (2023),Brisbane,15,407.1878,44.6049,0.7812
Eagle R3 (2023),Brisbane,16,284.6000,17.1418,2.9053
Eagle R3 (2023),Brisbane,17,397.4005,411.5266,1.0010
Eagle R3 (2023),Brisbane,18,214.0103,101.2491,1.3428
Eagle R3 (2023),Brisbane,19,187.0588,129.3115,3.1494
Eagle R3 (2023),Brisbane,20,245.2801,239.0465,2.2705
Eagle R3 (2023),Brisbane,21,228.9093,125.9479,1.2451
Eagle R3 (2023),Brisbane,22,166.7554,140.4140,1.1230
Eagle R3 (2023),Brisbane,23,425.1690,170.6654,1.5869
Eagle R3 (2023),Brisbane,24,230.8487,119.6171,13.4766
Eagle R3 (2023),Brisbane,25,215.4356,187.4160,2.2705
Eagle R3 (2023),Brisbane,26,228.9440,230.9704,5.9082
Eagle R3 (2023),Brisbane,27,326.9186,217.1160,6.0303
Eagle R3 (2023),Brisbane,28,202.9502,71.3815,3.9062
